Symbol,Symbol_Name,Voicing,Place_of_Articulation,Manner_of_Articulation,Height,Backness,Rounding
p,P,voiceless,bilabial,plosive,,,
b,B,voiced,bilabial,plosive,,,
t,T,voiceless,dental;alveolar,plosive,,,
d,D,voiced,dental;alveolar,plosive,,,
ʈ,T,voiceless,retroflex,plosive,,,
ɖ,D,voiced,retroflex,plosive,,,
c,C,voiceless,palatal,plosive,,,
ɟ,J,voiced,palatal,plosive,,,
k,K,voiceless,velar,plosive,,,
ɡ,G,voiced,velar,plosive,,,
q,Q,voiceless,uvular,plosive,,,
ɢ,G,voiced,uvular,plosive,,,
ʔ,t,,glottal,plosive,,,
m,M,voiced,bilabial,nasal,,,
ɱ,M (at right),voiced,labiodental,nasal,,,
n,N,voiced,dental;alveolar,nasal,,,
ɳ,N,voiced,retroflex,nasal,,,
ɲ,N (at left),voiced,palatal,nasal,,,
ŋ,ng,voiced,velar,nasal,,,
ɴ,N,voiced,uvular,nasal,,,
ʙ,B,voiced,bilabial,trill,,,
r,R,voiced,dental;alveolar,trill,,,
ʀ,R,voiced,uvular,trill,,,
ɾ,R,voiced,dental;alveolar,tap,,,
ɽ,R,voiced,retroflex,flap,,,
ɸ,v,voiceless,bilabial,fricative,,,
β,f,voiced,bilabial,fricative,,,
f,F,voiceless,labiodental,fricative,,,
v,V,voiced,labiodental,fricative,,,
θ,th,voiceless,dental,fricative,,,
ð,th,voiced,dental,fricative,,,
s,S,voiceless,alveolar,fricative,,,
z,Z,voiced,alveolar,fricative,,,
ʃ,sh,voiceless,postalveolar,fricative,,,
ʒ,zh;tailed Z,voiced,postalveolar,fricative,,,
ʂ,sh,voiceless,retroflex,fricative,,,
ʐ,zh,voiced,retroflex,fricative,,,
ç,ch,voiceless,palatal,fricative,,,
ʝ,j,voiced,palatal,fricative,,,
x,X,voiceless,palatal,fricative,,,
ɣ,Z,voiced,velar,fricative,,,
χ,X,voiceless,uvular,fricative,,,
ʁ,inverted small capital R,voiced,uvular,fricative,,,
ħ,barred H,voiceless,pharyngeal,fricative,,,
ʕ,reversed glottal stop,voiced,pharyngeal,fricative;approximant,,,
h,H,voiceless,glottal,fricative,,,
ɦ,hooktop G,voiced,glottal,fricative,,,
ɬ,belted L,voiceless,dental;alveolar,lateral fricative,,,
ɮ,L-ezh ligature,voiced,dental;alveolar,lateral fricative,,,
ʋ,cursive V,voiced,labiodental,approximant,,,
ɹ,r,voiced,dental;alveolar,approximant,,,
ɻ,r,voiced,retroflex,approximant,,,
j,J,voiced,palatal,approximant,,,
ɰ,turned M w. right leg,voiced,velar,approximant,,,
l,L,voiced,dental;alveolar,lateral approximant,,,
ɭ,L,voiced,retroflex,lateral approximant,,,
ʎ,turned Y,voiced,palatal,lateral approximant,,,
ʟ,small capital L,voiced,velar,lateral approximant,,,
ƥ,P,voiceless,bilabial,implosive,,,
ɓ,B,voiced,bilabial,implosive,,,
ƭ,T,voiceless,dental;alveolar,implosive,,,
ɗ,D,voiced,dental;alveolar,implosive,,,
ƈ,C,voiceless,palatal,implosive,,,
ʄ,J,voiced,palatal,implosive,,,
ƙ,K,voiceless,velar,implosive,,,
ɠ,G,voiced,velar,implosive,,,
ʠ,Q,voiceless,uvular,implosive,,,
ʛ,G,voiced,uvular,implosive,,,
ʍ,W,voiceless,labial-velar,fricative,,,
w,W,voiced,labial-velar,approximant,,,
ɥ,turned H,voiced,labial-palatal,approximant,,,
ʜ,small capital H,voiceless,epiglottal,fricative,,,
ʡ,barred glottal stop,,epiglottal,plosive,,,
ʢ,barred reversed glottal stop,voiced,epiglottal,fricative;approximant,,,
ɧ,hooktop heng,voiceless,simultaneous postalveolar and velar,fricative,,,
ʘ,bull’s eye,,bilabial,click,,,
ǀ,pipe,,dental,click,,,
ǃ,exclamation point,,(post)alveolar,click,,,
ǂ,double-barred pipe,,palatoalveolar,click,,,
ǁ,double pipe,,alveolar,lateral click,,,
ɺ,turned long-leg R,voiced,alveolar,lateral flap,,,
ɕ,curly-tail C,voiceless,alveolo-palatal,fricative,,,
ʑ,curly-tail Z,voiced,alveolo-palatal,fricative,,,
ⱱ,right-hook V,voiced,labiodental,flap,,,
ʇ,turned T,,dental,click,,,
ʗ,stretched C,,postalveolar,click,,,
ʖ,inverted glottal stop,,alveolar,lateral click,,,
ƫ,left-hook T,voiceless,dental;alveolar,plosive,,,
